Order,Duration,Peak Memory
20,794.7916984558105,165184
20,790.595293045044,160928
15,338.99998664855957,92920
15,326.19380950927734,92920
15,335.1457118988037,92920
15,333.2650661468506,92920
15,334.2103958129883,92920
15,350.5716323852539,92920
15,363.9969825744629,92920
15,367.2807216644287,92920
15,346.91333770751953,92920
20,810.2772235870361,160872
15,350.8784770965576,92920
10,160.71724891662598,46328
10,138.5974884033203,46328
10,141.34693145751953,46328
10,150.7253646850586,46328
10,131.27636909484863,46328
10,166.68295860290527,46328
10,144.79756355285645,46328
10,184.07320976257324,46328
10,171.42653465270996,46328
20,981.8389415740967,161880
10,132.42197036743164,46328
5,26.589393615722656,14656
5,22.635936737060547,14656
5,17.998456954956055,14656
5,17.41933822631836,14656
5,21.62909507751465,14656
5,20.503759384155273,14656
5,18.730878829956055,14656
5,20.902395248413086,14656
5,27.543306350708008,14656
20,837.5160694122314,161992
5,18.53489875793457,14656
2,4.312038421630859,4344
2,2.0966529846191406,4344
2,4.002809524536133,4344
2,2.9878616333007812,4344
2,3.3788681030273438,4344
2,3.095865249633789,4344
2,4.000425338745117,4344
2,4.045963287353516,4344
2,3.5355091094970703,4344
20,825.127363204956,161992
2,2.591848373413086,4344
20,802.9828071594238,160984
20,842.0372009277344,160872
20,781.1722755432129,160872
20,848.5074043273926,160872
