Order,Duration,Peak Memory
20,113.36946487426758,111160
20,107.86581039428711,111160
15,82.52549171447754,111680
15,81.07781410217285,111680
15,79.99825477600098,111680
15,79.5278549194336,111680
15,81.11953735351562,111680
15,80.43169975280762,111680
15,82.95321464538574,111680
15,81.21514320373535,111680
15,85.49761772155762,111680
20,108.23869705200195,111160
15,92.09561347961426,111680
10,58.5169792175293,112200
10,84.95211601257324,112200
10,67.60811805725098,112200
10,61.6154670715332,112200
10,77.61359214782715,112200
10,92.96512603759766,112200
10,69.6721076965332,112200
10,61.84864044189453,112200
10,106.39762878417969,112200
20,110.14032363891602,111160
10,62.133073806762695,112200
5,46.321868896484375,112720
5,42.73200035095215,112720
5,33.376216888427734,112720
5,34.898996353149414,112720
5,36.777496337890625,112720
5,54.62956428527832,112720
5,39.077043533325195,112720
5,36.588191986083984,112720
5,46.80228233337402,112720
20,127.74658203125,111160
5,39.98732566833496,112720
2,20.054340362548828,113032
2,23.470640182495117,113032
2,20.81775665283203,113032
2,19.43039894104004,113032
2,18.06926727294922,113032
2,17.84658432006836,113032
2,20.568370819091797,113032
2,19.48404312133789,113032
2,25.91252326965332,113032
20,111.4811897277832,111160
2,17.232179641723633,113032
20,113.12103271484375,111160
20,124.83644485473633,111160
20,115.19813537597656,111160
20,103.54065895080566,111160
